config,solved_rate,solved_seeds,clean_solve_rate,clean_solve_seeds,n_seeds,sim_len,radius,batch_size,gamma,epsilon_start,buffer,warmup,update_ticks,learn_every,mean_comfort_mean,mean_comfort_median,mean_comfort_std,mean_comfort_min,mean_comfort_max,eval_deaths_mean,eval_deaths_median,eval_deaths_min,eval_deaths_max,zero_death_seeds,water_visit_pct_median,food_visit_pct_median,water_food_visit_ratio_median,water_camp_score_median,dominant_cell_pct_median,eat_rate_at_food_median,full_eat_rate_at_food_median,water_to_food_success_rate_median,water_to_food_success_count_median,water_to_food_path_efficiency_median,water_to_food_perfectish_trip_rate_median,food_to_water_success_rate_median,food_to_water_success_count_median,food_to_water_path_efficiency_median,total_successful_resource_trips_median,two_way_route_success_min_median,non_neighbor_jumps_max,run_time_seconds_mean,run_time_seconds_median,zero_death_rate,solved_ci_low,solved_ci_high
senses_vision,0.13333333333333333,4,0.26666666666666666,8,30,500000,20,512,0.99,0.3,50000,500,500,20,0.6407347333477692,0.6181675744983877,0.14366212028654998,0.3984873554901921,0.9671979291401817,97.06666666666666,104.5,0,237,4,56.0325,0.8525,68.0109475465313,55.650000000000006,46.49,0.7199337121212122,0.36185109289617484,0.0008910451547437849,2.0,0.7628205128205128,0.5,0.4928571428571429,11.0,0.712383689107827,13.0,0.0008910451547437849,0,192.29391440666612,191.99130330000116,0.13333333333333333,0.05309569424218104,0.2968168394441695
senses_smell-vision,0.1,3,0.36666666666666664,11,30,500000,20,512,0.99,0.3,50000,500,500,20,0.6823850608287121,0.6290991294987747,0.15276717050312172,0.5004189799466258,0.9854022337750208,87.23333333333333,86.0,0,218,2,58.4075,1.335,46.37010455431508,55.0275,49.2175,0.6772107035264929,0.41801430280075746,0.0030957023850825666,3.0,0.8571428571428572,0.5,0.4757863770083729,11.0,0.7657051282051281,14.5,0.0030957023850825666,0,197.89490483666668,197.25349450000067,0.06666666666666667,0.03459925995971615,0.25621441315266624
senses_,0.0,0,0.26666666666666666,8,30,500000,20,512,0.99,0.3,50000,500,500,20,0.46121476216490004,0.43788356065563894,0.07032218870688096,0.372063011693329,0.6387922131250687,279.6333333333333,296.5,96,460,0,39.53,1.55,22.385632885632887,37.2175,14.675,0.7364672364672364,0.2764384258376248,0.053418803418803416,2.5,0.75,0.2727272727272727,0.05830188679245283,3.5,0.7207792207792207,6.5,0.02353266888150609,0,190.56228346666686,190.5325752000008,0.0,-1.3877787807814457e-17,0.113517091390478
senses_smell,0.0,0,0.16666666666666666,5,30,500000,20,512,0.99,0.3,50000,500,500,20,0.44911701046145136,0.42492500126555366,0.0822851238114863,0.37144531115669105,0.6772135051450751,274.8,278.0,95,397,0,41.5425,1.8225,22.088611111111113,39.7075,18.1575,0.789622467771639,0.30813492063492065,0.08193979933110368,2.5,0.6493212669683258,0.16666666666666666,0.04673913043478261,2.5,0.6666666666666666,6.0,0.023904761904761904,0,196.1985325933336,194.5969730500001,0.0,-1.3877787807814457e-17,0.113517091390478
