config,n_seeds,sim_len,radius,batch_size,gamma,epsilon,buffer,warmup,update_ticks,learn_every,mean_comfort_mean,mean_comfort_median,mean_comfort_std,mean_comfort_min,mean_comfort_max,eval_deaths_mean,eval_deaths_median,zero_death_seeds,water_visit_pct_median,food_visit_pct_median,eat_rate_at_food_median,full_eat_rate_at_food_median,path_efficiency_median,perfectish_trip_rate_median,trip_success_rate_median,non_neighbor_jumps_max,run_time_seconds_mean,run_time_seconds_median,solved_rate,zero_death_rate
death_penalty_k_1__over_0p02__under_0p5,10,500000,5,512,0.98,,5000,500,500,20,0.6061284370102437,0.6513578672372133,0.2744871030774615,0.22736825843791952,0.9568426415732609,71.0,46.0,3,63.56,1.895,0.6084908292070577,0.15582128698277833,1.0,1.0,0.016816920943134535,0,148.6058471000011,149.14492215000064,0.3,0.3
death_penalty_k_0p5__over_0p02__under_0p5,10,500000,5,512,0.98,,5000,500,500,20,0.6381387928795745,0.6418708607664261,0.21864220299242806,0.3890383722470811,0.9103455749825543,66.0,70.0,1,62.5875,4.8175,0.48899817427899495,0.14038586972899836,1.0,0.9855327468230695,0.04127609978673809,0,148.02642921999868,146.19994935000068,0.1,0.1
death_penalty_k_1__over_0p02__under_1,10,500000,5,512,0.98,,5000,500,500,20,0.4863702278924677,0.4379145810382131,0.2908564608517271,0.09755900338694719,0.9144960413849124,53.6,58.5,1,65.7575,3.635,0.4578502970566706,0.20881346668852818,1.0,0.9128850009112448,0.06655949174829305,0,160.0092118799992,160.94966254999963,0.1,0.1
death_penalty_k_0p5__over_0p02__under_1,10,500000,5,512,0.98,,5000,500,500,20,0.41099234972537546,0.3815369500925321,0.33217879414409096,0.03566172271784765,0.9157426558619911,115.5,104.5,1,53.64,6.215,0.5625,0.15265615878575597,1.0,0.8598726114649682,0.023495959293624663,0,147.70263568999945,148.24479280000014,0.1,0.1
death_penalty_k_0p5__over_0p3__under_0p5,10,500000,5,512,0.98,,5000,500,500,20,0.1656213355601076,0.12960657703700973,0.11470472834044478,0.042981952615536854,0.4439358942548716,130.3,120.0,0,79.2975,0.4125,0.7457150166282936,0.057971014492753624,1.0,1.0,0.0,0,148.41216293000107,148.39248885000052,0.0,0.0
death_penalty_k_1__over_0p3__under_0p5,10,500000,5,512,0.98,,5000,500,500,20,0.10928578325298241,0.12824490168083502,0.09539781518795942,-0.11120355494805349,0.22002013165222162,148.8,113.0,0,89.555,0.034999999999999996,0.5192307692307692,0.0,0.5,0.0,0.0,0,146.66893486000043,145.69003234999764,0.0,0.0
death_penalty_k_0p5__over_0p3__under_1,10,500000,5,512,0.98,,5000,500,500,20,-0.041212153162482765,-0.10527195456554184,0.19805873155157586,-0.16242762430740568,0.5081374922002554,109.9,112.5,0,83.57249999999999,0.22999999999999998,0.6388050112431738,0.19090909090909092,1.0,0.8104265402843602,0.0,0,149.04383338000042,148.30718804999924,0.0,0.0
death_penalty_k_1__over_0p3__under_1,10,500000,5,512,0.98,,5000,500,500,20,-0.17848936607634933,-0.137807019329309,0.1209140841653445,-0.4029123890929371,0.035003177696792065,132.8,114.0,0,75.85,0.545,0.8074074074074075,0.007121057985757884,,,0.0,0,146.26005739999965,146.38974790000066,0.0,0.0
