config,solved_rate,solved_seeds,clean_solve_rate,clean_solve_seeds,n_seeds,sim_len,radius,batch_size,gamma,epsilon_start,buffer,warmup,update_ticks,learn_every,mean_comfort_mean,mean_comfort_median,mean_comfort_std,mean_comfort_min,mean_comfort_max,eval_deaths_mean,eval_deaths_median,eval_deaths_min,eval_deaths_max,zero_death_seeds,water_visit_pct_median,food_visit_pct_median,water_food_visit_ratio_median,water_camp_score_median,dominant_cell_pct_median,eat_rate_at_food_median,full_eat_rate_at_food_median,water_to_food_success_rate_median,water_to_food_success_count_median,water_to_food_path_efficiency_median,water_to_food_perfectish_trip_rate_median,food_to_water_success_rate_median,food_to_water_success_count_median,food_to_water_path_efficiency_median,total_successful_resource_trips_median,two_way_route_success_min_median,non_neighbor_jumps_max,run_time_seconds_mean,run_time_seconds_median,zero_death_rate,solved_ci_low,solved_ci_high
ez_zeta_2,0.0,0,0.0,0,12,1000000,20,512,0.99,0.3,50000,500,500,20,0.5498187632734125,0.5592215556222471,0.05884426181623347,0.42302544932120617,0.6336599920430257,142.91666666666666,145.5,105,188,0,51.5925,1.9224999999999999,1.6911764705882355,0.11750000000000002,3.3175,0.7424351585014409,0.17587884588542602,0.0014185795692347315,1.0,0.6979405034324943,0.0,0.06386392811296535,3.0,0.6838116301650663,4.0,0.0014185795692347315,3,656.5006830916667,656.6297587999998,0.0,0.0,0.2425007574992425
ez_zeta_0,0.0,0,0.08333333333333333,1,12,1000000,20,512,0.99,0.3,50000,500,500,20,0.5492743108579,0.5472035015911418,0.06889235732593663,0.44105964614418425,0.6552727944779997,145.33333333333334,146.0,92,214,0,44.03,1.775,2.288,0.11750000000000002,3.5275,0.7540750005125787,0.2294855576639258,0.0005237936512746367,1.5,0.6043478260869566,0.0,0.0772340425531915,3.5,0.6538461538461539,5.0,0.0002310536044362292,4,648.9477534249997,650.1986288500002,0.0,0.0,0.2425007574992425
senses_smell-vision,0.0,0,0.125,1,8,1000000,20,512,0.99,0.3,50000,500,500,20,0.5468674310060841,0.5472035015911418,0.07051957901083136,0.44105964614418425,0.6552727944779997,144.375,153.0,92,174,0,44.03,2.1875,0.708,-0.0925,3.55,0.7096429532911563,0.2311326164874552,0.0002310536044362292,0.5,0.6948717948717948,0.0,0.0772340425531915,4.0,0.6810647307924985,5.0,0.0002310536044362292,4,640.782430425,642.9772480500005,0.0,0.0,0.3244156195108769
senses_smell-vision-touch_memory,0.0,0,0.0,0,8,1000000,20,512,0.99,0.3,50000,500,500,20,0.5076774539658427,0.5092248416928997,0.031157397895153528,0.4589266208404626,0.5556842972083705,149.875,146.0,121,182,0,43.63,1.3425,1.8420910075839652,0.25999999999999995,3.36,0.6904761904761905,0.1957199546485261,0.0006361032876803427,1.5,0.48484848484848486,0.0,0.12656641604010024,4.0,0.654945054945055,5.0,0.0006361032876803427,1,635.1593345999986,636.4874762999989,0.0,0.0,0.3244156195108769
