config,n_seeds,sim_len,radius,batch_size,gamma,epsilon,buffer,warmup,update_ticks,learn_every,mean_comfort_mean,mean_comfort_median,mean_comfort_std,mean_comfort_min,mean_comfort_max,eval_deaths_mean,eval_deaths_median,zero_death_seeds,water_visit_pct_median,food_visit_pct_median,eat_rate_at_food_median,full_eat_rate_at_food_median,path_efficiency_median,perfectish_trip_rate_median,trip_success_rate_median,non_neighbor_jumps_max,run_time_seconds_mean,run_time_seconds_median,solved_rate,zero_death_rate
curriculum_mode_disabled__len_1m,10,1000000,5,512,0.98,,5000,500,500,20,0.6182331741918383,0.6682730908623167,0.2659703771638695,0.3114144221029742,0.9425139636242382,53.5,38.0,3,59.6375,4.475,0.5555555555555556,0.23220258002866698,1.0,0.8272300469483569,0.3731891814743452,0,320.254564880002,319.66320104999613,0.3,0.3
curriculum_mode_disabled__len_500k,10,500000,5,512,0.98,,5000,500,500,20,0.6381387928795745,0.6418708607664261,0.21864220299242806,0.3890383722470811,0.9103455749825543,66.0,70.0,1,62.5875,4.8175,0.48899817427899495,0.14038586972899836,1.0,0.9855327468230695,0.04127609978673809,0,152.8911659600024,150.1497359500063,0.1,0.1
curriculum_mode_coordinate__len_500k,10,500000,5,512,0.98,,5000,500,500,20,0.45020273165356645,0.4886222718325996,0.11085317002862599,0.24892479850574292,0.5889814489093703,176.1,91.0,0,73.7075,0.0075,0.2384301270417423,0.024047186932849365,0.625,0.1111111111111111,0.0,0,158.93942557999836,155.7635370999924,0.0,0.0
curriculum_mode_coordinate__len_1m,10,1000000,5,512,0.98,,5000,500,500,20,0.4470646991214867,0.4616582455318576,0.07111108545633152,0.3219359075357648,0.5413895841482387,92.8,90.0,0,77.97999999999999,0.0675,0.47539592760180993,0.13986013986013987,,,0.0,0,313.2196154799996,312.84370414999285,0.0,0.0
