config,n_seeds,sim_len,radius,batch_size,gamma,epsilon,buffer,warmup,update_ticks,learn_every,mean_comfort_mean,mean_comfort_median,mean_comfort_std,mean_comfort_min,mean_comfort_max,eval_deaths_mean,eval_deaths_median,zero_death_seeds,water_visit_pct_median,food_visit_pct_median,eat_rate_at_food_median,full_eat_rate_at_food_median,path_efficiency_median,perfectish_trip_rate_median,trip_success_rate_median,non_neighbor_jumps_max,run_time_seconds_mean,run_time_seconds_median,solved_rate,zero_death_rate
novelty_rewards_F__vanilla,5,500000,5,512,0.99,,5000,500,500,20,0.7627531796303391,0.7799580069117805,0.13851850854256917,0.6007528423272704,0.9308968918711816,41.0,6.0,2,48.275,2.46,0.6280487804878049,0.5579268292682927,0.9090909090909091,0.7382198952879581,0.08059384941675504,0,174.29884305999994,175.0560730000002,0.4,0.4
novelty_rewards_T__noisy,5,500000,5,512,0.99,,5000,500,500,20,0.8433682140689376,0.8810641948568858,0.12145382515353911,0.6293998589464088,0.931196062672394,13.6,3.0,1,48.825,4.695,0.6692506459948321,0.5580404685835996,1.0,0.9230769230769231,0.13283378746594005,0,189.76777299999958,188.37768189999952,0.2,0.2
novelty_rewards_F__noisy,5,500000,5,512,0.99,,5000,500,500,20,0.8588609577073021,0.8472256061660842,0.07664871800934955,0.7743145593540539,0.9411788559390557,13.6,6.0,1,60.175,3.7350000000000003,0.6615384615384615,0.5678832116788322,0.9090909090909091,0.5734265734265734,0.14532520325203252,0,200.45658248,199.1279526000003,0.2,0.2
novelty_rewards_T__vanilla,5,500000,5,512,0.99,,5000,500,500,20,0.4926024493001179,0.48001599582115306,0.11128814113168858,0.33980767941669027,0.623459316282226,102.6,94.0,0,64.53999999999999,0.38999999999999996,0.9072164948453608,0.1282051282051282,0.5263157894736842,0.0,0.0,0,178.97606686000017,177.94221150000067,0.0,0.0
