config,n_seeds,sim_len,radius,batch_size,gamma,epsilon,buffer,warmup,update_ticks,learn_every,mean_comfort_mean,mean_comfort_median,mean_comfort_std,mean_comfort_min,mean_comfort_max,eval_deaths_mean,eval_deaths_median,zero_death_seeds,water_visit_pct_median,food_visit_pct_median,eat_rate_at_food_median,full_eat_rate_at_food_median,path_efficiency_median,perfectish_trip_rate_median,trip_success_rate_median,non_neighbor_jumps_max,run_time_seconds_mean,run_time_seconds_median,solved_rate,zero_death_rate
buf_100k,10,500000,5,512,0.99,,100000,500,500,20,0.7770206780117515,0.8044785767950748,0.1367543610563142,0.606297184771504,0.9394210082522484,20.4,0.0,6,67.74000000000001,2.8275,0.7496111624551991,0.5905037823917592,0.6666666666666666,0.038461538461538464,0.04808684892197175,0,209.00863704999793,209.07529150000119,0.6,0.6
buf_50k,10,500000,5,512,0.99,,50000,500,500,20,0.8098704454450102,0.9261014091007407,0.19160819486897954,0.447767026689269,0.9523390244996259,18.7,0.0,6,62.045,4.7475000000000005,0.6978531672409224,0.32967576641046026,1.0,0.9759615384615384,0.34056815614281755,0,199.64765148000006,198.8694011000007,0.5,0.6
buf_5k,10,500000,5,512,0.99,,5000,500,500,20,0.7282122991196294,0.8588163616653819,0.24567241108948307,0.23096666302392324,0.9246635386908186,16.0,7.5,1,59.44499999999999,4.092499999999999,0.7262080001784261,0.5454177043094038,0.9545454545454546,0.8356445433197379,0.16814382589496923,0,185.92662499000144,185.98406315000102,0.1,0.1
