config,n_seeds,sim_len,radius,batch_size,gamma,epsilon,buffer,warmup,update_ticks,learn_every,mean_comfort_mean,mean_comfort_median,mean_comfort_std,mean_comfort_min,mean_comfort_max,eval_deaths_mean,eval_deaths_median,zero_death_seeds,water_visit_pct_median,food_visit_pct_median,eat_rate_at_food_median,full_eat_rate_at_food_median,path_efficiency_median,perfectish_trip_rate_median,trip_success_rate_median,non_neighbor_jumps_max,run_time_seconds_mean,run_time_seconds_median,solved_rate,zero_death_rate
double__curriculum_mode_disabled__len_1m,10,1000000,5,512,0.99,,5000,500,500,20,0.822020410328002,0.8552616962813946,0.10271643201234648,0.6077793349331383,0.9160492696013746,51.5,40.5,3,58.162499999999994,4.1975,0.7400503897560247,0.38525163835337534,0.9090909090909091,0.696123690742871,0.11519101930915575,0,557.4058421199982,515.0951986499931,0.3,0.3
vanilla__curriculum_mode_disabled__len_1m,10,1000000,5,512,0.99,,5000,500,500,20,0.7610161138953762,0.8430694359797573,0.2164650843114485,0.2480366518535565,0.9547458342944516,37.2,17.5,3,62.485,3.3500000000000005,0.6803081493725882,0.4519364044027721,1.0,0.7583957219251337,0.10333082385496573,0,354.3940319299974,339.98631885000214,0.3,0.3
vanilla__curriculum_mode_disabled__len_500k,10,500000,5,512,0.99,,5000,500,500,20,0.7596836128413063,0.8175576100452506,0.16731367839809091,0.46073677546999553,0.9308968918711816,44.6,17.5,2,50.55,2.77,0.6442130694891854,0.5553861788617886,0.8333333333333334,0.1963311996206733,0.08276959081434893,0,171.99651094000146,164.08786240000336,0.2,0.2
double__curriculum_mode_disabled__len_500k,10,500000,5,512,0.99,,5000,500,500,20,0.7541403894672628,0.7237586834112568,0.14440264268402714,0.4757815665418917,0.9318911083534893,53.2,43.5,0,58.80500000000001,2.4825,0.7483751160631383,0.48405253283302063,0.7692307692307693,0.05627705627705628,0.05047447915644056,0,170.6750222500006,170.92776204999973,0.0,0.0
double__curriculum_mode_coordinate__len_500k,1,500000,5,512,0.99,,5000,500,500,20,0.6905356268477686,0.6905356268477686,,0.6905356268477686,0.6905356268477686,115.0,115.0,0,64.885,1.18,0.8347457627118644,0.3177966101694915,,,0.0,0,171.23060100000293,171.23060100000293,0.0,0.0
vanilla__curriculum_mode_coordinate__len_1m,10,1000000,5,512,0.99,,5000,500,500,20,0.6022273044497345,0.6485832407290328,0.18424843018841497,0.23239573535757618,0.9259805837698177,87.6,94.5,0,62.56999999999999,0.265,0.7106481481481481,0.4166666666666667,0.6787330316742082,0.11065573770491803,0.0,0,336.17951908000106,335.8460420000047,0.0,0.0
vanilla__curriculum_mode_coordinate__len_500k,10,500000,5,512,0.99,,5000,500,500,20,0.6054812357394674,0.626832966492279,0.1470899198411,0.28590647720182244,0.8690266336463952,88.2,96.0,0,72.25,0.20249999999999999,0.6933734939759035,0.1904071984139088,0.7738095238095238,0.16666666666666666,0.0,0,168.90627685000072,168.20565850001003,0.0,0.0
