config,n_seeds,sim_len,radius,batch_size,gamma,epsilon,buffer,warmup,update_ticks,learn_every,mean_comfort_mean,mean_comfort_median,mean_comfort_std,mean_comfort_min,mean_comfort_max,eval_deaths_mean,eval_deaths_median,zero_death_seeds,water_visit_pct_median,food_visit_pct_median,eat_rate_at_food_median,full_eat_rate_at_food_median,path_efficiency_median,perfectish_trip_rate_median,trip_success_rate_median,non_neighbor_jumps_max,run_time_seconds_mean,run_time_seconds_median,solved_rate,zero_death_rate
under_1__over_0p3,5,500000,5,512,0.98,,5000,500,500,20,0.045846793300069175,-0.03040025301136879,0.5125497152320803,-0.6896046386657019,0.5655168262575002,309.8,198.0,0,63.44499999999999,9.254999999999999,0.6856769699608185,0.6280065226253567,1.0,0.9667277167277167,0.47368421052631576,0,158.82456093999934,160.3048514999973,0.0,0.0
under_2__over_0p3,5,500000,5,512,0.98,,5000,500,500,20,-0.1591780865537346,-0.03522817822314609,0.1962967606546034,-0.4544407689581928,-0.017397882212700704,332.0,284.0,0,64.63499999999999,4.32,0.8488717815011504,0.8035860041989399,1.0,1.0,0.4727769196822595,0,153.65292580000096,151.57777550000174,0.0,0.0
under_1p5__over_0p1,5,500000,5,512,0.98,,5000,500,500,20,-0.06307348179931026,-0.11056149188388,0.15080240699823286,-0.17618231153037908,0.2000369940215608,155.2,154.0,0,72.82499999999999,0.0,0.38760255474477756,0.18759735262995675,0.9545454545454546,0.7902417452830188,0.0,0,153.28640677999937,152.13337289999617,0.0,0.0
under_1__over_0p1,5,500000,5,512,0.98,,5000,500,500,20,-0.20208929797906236,-0.15603524829671228,0.3510271199880119,-0.5916042198658082,0.16803981378512048,174.6,143.0,1,71.53500000000001,21.58,0.7606639300374799,0.668413958364535,1.0,0.996309963099631,0.05559968228752978,0,163.2138630600006,163.0716825999989,0.0,0.2
under_1__over_0p2,5,500000,5,512,0.98,,5000,500,500,20,-0.39765991760605635,-0.18962489285593326,0.38546016381556714,-0.858253733950031,-0.013095013998747806,195.0,135.0,0,60.33,22.035,0.9171343677781446,0.899810366624526,1.0,0.9090909090909092,0.3375959079283887,0,157.417779159997,156.15748349999922,0.0,0.0
under_1p5__over_0p2,5,500000,5,512,0.98,,5000,500,500,20,-0.2348985075972836,-0.24907078611034303,0.20993918306470083,-0.48397992507938964,0.087607272094076,270.2,149.0,0,49.635,2.37,0.8315326875155779,0.7488294067458368,0.8333333333333333,0.4496124031007752,0.0016602102933038186,0,153.66616061999957,153.26447740000003,0.0,0.0
under_1p5__over_0p3,5,500000,5,512,0.98,,5000,500,500,20,-0.22822229092816296,-0.2574316323153812,0.2705474450007879,-0.5343394138650227,0.08756510209221438,160.0,155.0,0,62.235,0.08499999999999999,0.8235294117647058,0.23529411764705882,1.0,0.9878048780487805,0.0,0,157.7171514200003,157.4108727999992,0.0,0.0
under_2__over_0p1,5,500000,5,512,0.98,,5000,500,500,20,-0.18478679446127563,-0.2770051030448621,0.3655500008059406,-0.506262371404109,0.43562885616004043,182.8,106.0,0,63.214999999999996,17.61,0.6263046917328173,0.5126283519163347,1.0,1.0,0.7578125,0,163.9333327600005,164.79036199999973,0.0,0.0
under_2__over_0p2,5,500000,5,512,0.98,,5000,500,500,20,-0.18197286550834532,-0.3978757691194248,0.6031415909704453,-0.887679159896935,0.602744967713222,423.4,258.0,1,35.945,13.555,0.8021680216802168,0.46735521947620806,1.0,0.9942084942084942,0.611808645899555,0,158.27398661999905,157.72835530000157,0.0,0.2
