config,n_seeds,sim_len,radius,batch_size,gamma,epsilon,buffer,warmup,update_ticks,learn_every,mean_comfort_mean,mean_comfort_median,mean_comfort_std,mean_comfort_min,mean_comfort_max,eval_deaths_mean,eval_deaths_median,zero_death_seeds,water_visit_pct_median,food_visit_pct_median,eat_rate_at_food_median,full_eat_rate_at_food_median,path_efficiency_median,perfectish_trip_rate_median,trip_success_rate_median,non_neighbor_jumps_max,run_time_seconds_mean,run_time_seconds_median,solved_rate,zero_death_rate
noisy__buf_50k,10,500000,5,512,0.99,,50000,500,500,20,0.8182612887880587,0.8694896397825409,0.12275153220288633,0.5918950427846396,0.9293492393642618,23.3,3.5,4,59.1575,4.2675,0.6378212671335708,0.43416140772646833,0.7692307692307693,0.15120274914089346,0.12766865180251183,0,196.24063365,197.08356384999934,0.4,0.4
vanilla__buf_50k,10,500000,5,512,0.99,,50000,500,500,20,0.7137669174301428,0.6292019909301133,0.16606790024634288,0.5246179478107877,0.9536976147724378,50.1,74.5,4,72.58500000000001,0.3975,0.6973431498079385,0.4815870574145752,0.7670454545454546,0.3563834836260085,0.0025101689570204556,0,173.69771783999994,173.8407826499997,0.4,0.4
vanilla__buf_5k,10,500000,5,512,0.99,,5000,500,500,20,0.7596836128413063,0.8175576100452506,0.16731367839809091,0.46073677546999553,0.9308968918711816,44.6,17.5,2,50.55,2.77,0.6442130694891854,0.5553861788617886,0.8333333333333334,0.1963311996206733,0.08276959081434893,0,163.16334981000006,162.9068592499998,0.2,0.2
noisy__buf_5k,10,500000,5,512,0.99,,5000,500,500,20,0.7787825057853517,0.805140258185199,0.15985137187549142,0.44002334325083103,0.9411788559390557,52.1,9.0,2,58.887499999999996,3.6175000000000006,0.6714653485737823,0.5083005801983904,0.7692307692307693,0.3769633507853403,0.06516673190044067,0,181.70496809000014,181.59937350000018,0.2,0.2
noisy__buf_520k,10,500000,5,512,0.99,,520001,500,500,20,0.6550595998539661,0.5987523053728618,0.13151134921177884,0.5299189889004551,0.9071579761610635,58.3,74.5,0,77.17750000000001,0.4625,0.8214285714285714,0.5769230769230769,0.6666666666666666,0.010869565217391304,0.001911511665176538,0,289.0917187000001,290.2077878,0.0,0.0
vanilla__buf_520k,10,500000,5,512,0.99,,520001,500,500,20,0.5858466767119964,0.5659517111430843,0.052890104798557554,0.5267377434703381,0.6772036639595667,76.7,79.0,0,77.3125,0.07749999999999999,0.6821705426356589,0.47785039941902685,0.7142857142857143,0.05555555555555555,0.0,0,262.82305879000006,262.15146105000076,0.0,0.0
