config,seed,sim_len,eval_len,radius,batch_size,gamma,epsilon,buffer,warmup,update_ticks,learn_every,mean_comfort,mean_reward,eval_deaths,death_rate_eval,run_time_seconds,water_visit_pct,food_visit_pct,drink_rate_at_water,eat_rate_at_food,full_eat_rate_at_food,move_rate_eval,drink_rate_eval,eat_rate_eval,trip_count,trip_success_rate,median_success_trip_moves,shortest_dist,path_efficiency,perfectish_trip_rate,non_neighbor_jumps,total_ticks
sigma_0_0p5,0,500000,20000,5,512,0.99,,5000,500,500,20,0.7743145593540539,0.7743145593540539,0,0.0,187.9196413999889,72.15,5.545,0.944005544005544,0.5266005410279531,0.23534715960324618,0.27445,0.6811,0.0292,712,0.25702247191011235,10.0,10,1.0,0.9672131147540983,0,520000
sigma_0_0p5,1,500000,20000,5,512,0.99,,5000,500,500,20,0.9411788559390557,0.9261788559390558,6,0.0003,192.12677609999082,57.599999999999994,3.5000000000000004,0.47734375,0.74,0.6471428571428571,0.53635,0.27495,0.0259,2938,0.06126616746085772,10.0,10,1.0,0.9388888888888889,0,520000
sigma_0_0p5,2,500000,20000,5,512,0.99,,5000,500,500,20,0.8472256061660842,0.8447256061660843,1,5e-05,186.1566437999718,53.54,3.4250000000000003,0.7480388494583489,0.5678832116788322,0.5678832116788322,0.50825,0.4005,0.01945,1273,0.15003927729772193,16.0,10,0.625,0.3769633507853403,0,520000
