config,seed,sim_len,eval_len,radius,batch_size,gamma,epsilon_start,buffer,warmup,update_ticks,learn_every,mean_comfort,mean_reward,eval_deaths,death_rate_eval,run_time_seconds,water_visit_pct,food_visit_pct,water_food_visit_ratio,water_camp_score,dominant_cell_pct,drink_rate_at_water,eat_rate_at_food,full_eat_rate_at_food,move_rate_eval,drink_rate_eval,eat_rate_eval,water_to_food_trip_count,water_to_food_success_count,water_to_food_success_rate,water_to_food_path_efficiency,water_to_food_perfectish_trip_rate,food_to_water_trip_count,food_to_water_success_count,food_to_water_success_rate,food_to_water_path_efficiency,total_successful_resource_trips,two_way_route_success_min,non_neighbor_jumps,total_ticks
noisy__beta_0p1__novelty_rewards_T__e_30__buf_50k__n_step_10__over_0p02__under_0p5,44,500000,20000,20,512,0.99,0.3,50000,500,500,20,0.4210607185953435,-0.38643928140465583,323,0.01615,196.26144829999976,34.699999999999996,4.305,8.060394889663183,30.394999999999996,10.95,0.969164265129683,0.9059233449477352,0.056910569105691054,0.5163,0.33635,0.03905,39,1,0.02564102564102564,0.5,0.0,58,2,0.034482758620689655,0.2738095238095238,3,0.02564102564102564,0,520000
noisy__beta_0p1__novelty_rewards_T__e_30__buf_50k__n_step_10__over_0p02__under_0p5,45,500000,20000,20,512,0.99,0.3,50000,500,500,20,0.46395303821343875,-0.1510469617865606,246,0.0123,195.83149419999972,44.89,3.615,12.417704011065007,41.275,17.53,0.9908665627088439,0.8810511756569848,0.5366528354080221,0.40845,0.44495,0.03185,74,5,0.06756756756756757,0.6470588235294118,0.0,27,3,0.1111111111111111,0.6285714285714286,8,0.06756756756756757,0,520000
noisy__beta_0p1__novelty_rewards_T__e_30__buf_50k__n_step_10__over_0p02__under_0p5,46,500000,20000,20,512,0.99,0.3,50000,500,500,20,0.4262006163057209,-0.4262993836942784,341,0.01705,198.9685978999987,33.81,2.1999999999999997,15.36818181818182,31.610000000000003,13.465,0.9933451641526175,0.634090909090909,0.08409090909090909,0.362,0.33595,0.0141,41,4,0.0975609756097561,1.0,0.75,61,0,0.0,,4,0.0,0,520000
noisy__beta_0p1__novelty_rewards_T__e_30__buf_50k__n_step_10__over_0p02__under_0p5,47,500000,20000,20,512,0.99,0.3,50000,500,500,20,0.44310531242370726,0.005605312423707656,175,0.00875,201.77382260000013,62.085,2.75,22.576363636363638,59.335,24.35,0.9941209631956189,0.8127272727272727,0.20909090909090908,0.29385,0.6173,0.0224,68,13,0.19117647058823528,0.6578947368421053,0.3076923076923077,99,9,0.09090909090909091,0.8,22,0.09090909090909091,0,520000
noisy__beta_0p1__novelty_rewards_T__e_30__buf_50k__n_step_10__over_0p02__under_0p5,48,500000,20000,20,512,0.99,0.3,50000,500,500,20,0.4289025914916947,-0.2910974085083046,288,0.0144,203.29515379999793,36.94,2.305,16.026030368763557,34.635,12.64,0.9189225771521387,0.7462039045553145,0.06073752711496746,0.43635,0.33955,0.01725,46,10,0.21739130434782608,0.6529160739687055,0.3,61,3,0.04918032786885246,0.7692307692307693,13,0.04918032786885246,0,520000
noisy__beta_0p1__novelty_rewards_T__e_30__buf_50k__n_step_10__over_0p02__under_0p5,49,500000,20000,20,512,0.99,0.3,50000,500,500,20,0.4266064301347015,-0.38339356986529777,324,0.0162,215.24793240000145,38.574999999999996,1.16,33.25431034482759,37.415,15.69,0.9476344782890473,0.8189655172413793,0.2974137931034483,0.4021,0.36555,0.0096,36,0,0.0,,,40,2,0.05,0.6118881118881119,2,0.0,0,520000
noisy__beta_0p1__novelty_rewards_T__e_30__buf_50k__n_step_10__over_0p02__under_0p5,50,500000,20000,20,512,0.99,0.3,50000,500,500,20,0.4436044314542376,-0.48389556854576166,371,0.01855,195.10330600000088,22.675,2.36,9.608050847457628,20.315,7.58,0.9450937155457553,0.7033898305084746,0.4173728813559322,0.70905,0.21435,0.01665,57,6,0.10526315789473684,0.6211111111111112,0.3333333333333333,69,1,0.014492753623188406,1.0,7,0.014492753623188406,0,520000
noisy__beta_0p1__novelty_rewards_T__e_30__buf_50k__n_step_10__over_0p02__under_0p5,51,500000,20000,20,512,0.99,0.3,50000,500,500,20,0.44974435757187586,-0.22025564242812357,268,0.0134,200.43345880000197,47.325,1.135,41.69603524229075,46.190000000000005,23.14,0.989540412044374,0.7533039647577092,0.3039647577092511,0.41375,0.4683,0.0086,33,2,0.06060606060606061,0.4577922077922078,0.0,48,3,0.0625,0.7058823529411765,5,0.06060606060606061,0,520000
noisy__beta_0p1__novelty_rewards_T__e_30__buf_50k__n_step_10__over_0p02__under_0p5,52,500000,20000,20,512,0.99,0.3,50000,500,500,20,0.42361801720642933,-0.1438819827935702,227,0.01135,200.14489689999755,59.309999999999995,1.4749999999999999,40.21016949152543,57.834999999999994,18.125,0.9896307536671725,0.7762711864406779,0.10508474576271186,0.29585,0.58705,0.0115,90,7,0.07777777777777778,0.5,0.2857142857142857,42,3,0.07142857142857142,0.6666666666666666,10,0.07142857142857142,0,520000
noisy__beta_0p1__novelty_rewards_T__e_30__buf_50k__n_step_10__over_0p02__under_0p5,53,500000,20000,20,512,0.99,0.3,50000,500,500,20,0.3981975676868078,-0.1593024323131917,223,0.01115,200.57016900000235,52.2,1.16,45.00000000000001,51.040000000000006,25.42,0.9802681992337164,0.7931034482758621,0.2629310344827586,0.42605,0.5118,0.0092,130,6,0.046153846153846156,0.41666666666666663,0.0,30,2,0.06666666666666667,1.0,8,0.046153846153846156,0,520000
