config,n_seeds,sim_len,radius,batch_size,gamma,epsilon,buffer,warmup,update_ticks,learn_every,mean_comfort_mean,mean_comfort_median,mean_comfort_std,mean_comfort_min,mean_comfort_max,eval_deaths_mean,eval_deaths_median,zero_death_seeds,water_visit_pct_median,food_visit_pct_median,eat_rate_at_food_median,full_eat_rate_at_food_median,path_efficiency_median,perfectish_trip_rate_median,trip_success_rate_median,non_neighbor_jumps_max,run_time_seconds_mean,run_time_seconds_median,solved_rate,zero_death_rate
comfort_surface_quadratic__over_0p1,2,500000,5,512,0.98,,5000,500,500,20,0.5560291545308689,0.5560291545308689,0.0431300147190987,0.5255316286503187,0.5865266804114192,653.0,653.0,0,29.3875,10.932500000000001,0.6012309789400325,0.25920899089752875,1.0,1.0,0.33440514469453375,0,157.51949909999894,157.51949909999894,0.0,0.0
comfort_surface_quadratic__over_0p3,5,500000,5,512,0.98,,5000,500,500,20,0.4981631991213217,0.49822297587100145,0.09200677935707782,0.38670255532378106,0.5999159275948764,400.8,259.0,0,31.935000000000002,0.08,0.7263806877387982,0.22603334491142757,1.0,1.0,0.020958083832335328,0,157.03307253999665,156.21495029999642,0.0,0.0
comfort_surface_exponential__over_0p3,5,500000,5,512,0.98,,5000,500,500,20,0.045846793300069175,-0.03040025301136879,0.5125497152320803,-0.6896046386657019,0.5655168262575002,309.8,198.0,0,63.44499999999999,9.254999999999999,0.6856769699608185,0.6280065226253567,1.0,0.9667277167277167,0.47368421052631576,0,160.21288522000106,158.5551204000003,0.0,0.0
comfort_surface_exponential__over_0p1,5,500000,5,512,0.98,,5000,500,500,20,-0.20208929797906236,-0.15603524829671228,0.3510271199880119,-0.5916042198658082,0.16803981378512048,174.6,143.0,1,71.53500000000001,21.58,0.7606639300374799,0.668413958364535,1.0,0.996309963099631,0.05559968228752978,0,159.1030700599993,157.71463860000222,0.0,0.2
