config,solved_rate,solved_seeds,clean_solve_rate,clean_solve_seeds,n_seeds,sim_len,radius,batch_size,gamma,epsilon_start,buffer,warmup,update_ticks,learn_every,mean_comfort_mean,mean_comfort_median,mean_comfort_std,mean_comfort_min,mean_comfort_max,eval_deaths_mean,eval_deaths_median,eval_deaths_min,eval_deaths_max,zero_death_seeds,water_visit_pct_median,food_visit_pct_median,water_food_visit_ratio_median,water_camp_score_median,dominant_cell_pct_median,eat_rate_at_food_median,full_eat_rate_at_food_median,water_to_food_success_rate_median,water_to_food_success_count_median,water_to_food_path_efficiency_median,water_to_food_perfectish_trip_rate_median,food_to_water_success_rate_median,food_to_water_success_count_median,food_to_water_path_efficiency_median,total_successful_resource_trips_median,two_way_route_success_min_median,non_neighbor_jumps_max,run_time_seconds_mean,run_time_seconds_median,zero_death_rate,solved_ci_low,solved_ci_high
senses_smell-vision,0.0,0,0.225,9,40,500000,20,512,0.99,0.3,50000,500,500,20,0.4035736922683162,0.4038406707225588,0.011802004221866112,0.3775437631820374,0.4318683356431566,534.425,534.5,505,566,0,0.185,0.62,0.37438423645320196,-0.3125,2.3375000000000004,0.0,0.0,0.067816091954023,3.0,0.7692307692307693,0.25,0.012049941927990708,1.0,0.8181818181818182,4.0,0.00975818735719726,0,196.03276587000002,197.51563850000002,0.0,-6.938893903907228e-18,0.08762453925039232
senses_,0.0,0,0.275,11,40,500000,20,512,0.99,0.3,50000,500,500,20,0.40257671152911334,0.4030101020997647,0.0110348200209677,0.3794192973303076,0.42569661386426605,536.55,536.0,501,565,0,0.2525,0.6599999999999999,0.3307304326689353,-0.42499999999999993,1.55,0.0,0.0,0.047619047619047616,1.0,0.75,0.1111111111111111,0.012739370334307044,1.0,0.6719537815126051,3.0,0.010958495073156166,0,185.0686333699999,182.51418479999938,0.0,-6.938893903907228e-18,0.08762453925039232
senses_vision,0.0,0,0.225,9,40,500000,20,512,0.99,0.3,50000,500,500,20,0.40275551691049466,0.40274445763749256,0.01129174916282214,0.37634915619108866,0.42778719991140063,537.75,540.0,498,561,0,0.2525,0.5725,0.38360939155652224,-0.34249999999999997,1.8525,0.0,0.0,0.04499494438827098,2.0,0.6904761904761905,0.2,0.021741699161054,2.0,0.8461538461538461,4.0,0.017261904761904763,0,247.7002935175004,212.84865205000096,0.0,-6.938893903907228e-18,0.08762453925039232
