config,solved_rate,solved_seeds,clean_solve_rate,clean_solve_seeds,n_seeds,sim_len,radius,batch_size,gamma,epsilon_start,buffer,warmup,update_ticks,learn_every,mean_comfort_mean,mean_comfort_median,mean_comfort_std,mean_comfort_min,mean_comfort_max,eval_deaths_mean,eval_deaths_median,eval_deaths_min,eval_deaths_max,zero_death_seeds,water_visit_pct_median,food_visit_pct_median,water_food_visit_ratio_median,water_camp_score_median,dominant_cell_pct_median,eat_rate_at_food_median,full_eat_rate_at_food_median,water_to_food_success_rate_median,water_to_food_success_count_median,water_to_food_path_efficiency_median,water_to_food_perfectish_trip_rate_median,food_to_water_success_rate_median,food_to_water_success_count_median,food_to_water_path_efficiency_median,total_successful_resource_trips_median,two_way_route_success_min_median,non_neighbor_jumps_max,run_time_seconds_mean,run_time_seconds_median,zero_death_rate,solved_ci_low,solved_ci_high
noisy_drqn__n_step_10__b_64__buf_1k,0.0,0,0.25,10,40,500000,20,64,0.99,0.3,1300,200,500,20,0.40881110315765534,0.40872321847635995,0.011863467743486586,0.3769777237196012,0.4389191208739507,528.775,530.5,491,574,0,0.2,0.5574999999999999,0.42144808743169393,-0.295,3.08,0.0,0.0,0.04257246376811594,2.0,0.7781954887218046,0.25,0.012175324675324676,1.5,0.7555555555555555,3.0,0.010302197802197804,0,1014.826536205,1020.219381,0.0,-6.938893903907228e-18,0.08762453925039232
noisy__n_step_10__b_64__buf_50k,0.0,0,0.325,13,40,500000,20,64,0.99,0.3,50000,200,500,20,0.40567258196407047,0.4058858917294679,0.00946241447786566,0.38379905101065126,0.427629342533791,533.975,532.0,501,570,0,0.1625,0.57,0.3494193548387097,-0.3524999999999999,5.4,0.0,0.0,0.02827380952380952,1.0,0.9318181818181819,0.55,0.014425072644250726,1.0,0.804409702169788,3.0,0.0,0,157.72020114500006,157.87781944999915,0.0,-6.938893903907228e-18,0.08762453925039232
